file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,1bef06b3,Bokyoung Son,2025-10-15,00:56:12,-07:00,2025-10-15T00:56:12-07:00,0,4
style.css,2,css,1bef06b3,Bokyoung Son,2025-10-15,00:56:12,-07:00,2025-10-15T00:56:12-07:00,2,23
style.css,3,css,26381545,Bokyoung Son,2025-10-15,01:17:45,-07:00,2025-10-15T01:17:45-07:00,2,31
style.css,4,css,1bef06b3,Bokyoung Son,2025-10-15,00:56:12,-07:00,2025-10-15T00:56:12-07:00,0,0
style.css,5,css,908eab09,Bokyoung Son,2025-10-03,20:56:27,-07:00,2025-10-03T20:56:27-07:00,0,4
style.css,6,css,908eab09,Bokyoung Son,2025-10-03,20:56:27,-07:00,2025-10-03T20:56:27-07:00,1,43
style.css,7,css,908eab09,Bokyoung Son,2025-10-03,20:56:27,-07:00,2025-10-03T20:56:27-07:00,0,42
style.css,8,css,908eab09,Bokyoung Son,2025-10-03,20:56:27,-07:00,2025-10-03T20:56:27-07:00,0,0
style.css,9,css,908eab09,Bokyoung Son,2025-10-03,20:56:27,-07:00,2025-10-03T20:56:27-07:00,1,23
style.css,10,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,0,0
style.css,11,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,15
style.css,12,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,18
style.css,13,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,12
style.css,14,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,0,3
style.css,15,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,13
style.css,16,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,17
style.css,17,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,14
style.css,18,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,12
style.css,19,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,0,0
style.css,20,css,26381545,Bokyoung Son,2025-10-15,01:17:45,-07:00,2025-10-15T01:17:45-07:00,0,0
style.css,21,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,0,3
style.css,22,css,1bef06b3,Bokyoung Son,2025-10-15,00:56:12,-07:00,2025-10-15T00:56:12-07:00,1,39
style.css,23,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,12
style.css,24,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,17
style.css,25,css,1bef06b3,Bokyoung Son,2025-10-15,00:56:12,-07:00,2025-10-15T00:56:12-07:00,1,43
style.css,26,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,0,0
style.css,27,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,0,5
style.css,28,css,1bef06b3,Bokyoung Son,2025-10-15,00:56:12,-07:00,2025-10-15T00:56:12-07:00,1,6
style.css,29,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,20
style.css,30,css,1bef06b3,Bokyoung Son,2025-10-15,00:56:12,-07:00,2025-10-15T00:56:12-07:00,1,13
style.css,31,css,1bef06b3,Bokyoung Son,2025-10-15,00:56:12,-07:00,2025-10-15T00:56:12-07:00,1,17
style.css,32,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,13
style.css,33,css,26381545,Bokyoung Son,2025-10-15,01:17:45,-07:00,2025-10-15T01:17:45-07:00,0,0
style.css,34,css,1bef06b3,Bokyoung Son,2025-10-15,00:56:12,-07:00,2025-10-15T00:56:12-07:00,0,0
style.css,35,css,1bef06b3,Bokyoung Son,2025-10-15,00:56:12,-07:00,2025-10-15T00:56:12-07:00,0,13
style.css,36,css,1bef06b3,Bokyoung Son,2025-10-15,00:56:12,-07:00,2025-10-15T00:56:12-07:00,1,43
style.css,37,css,1bef06b3,Bokyoung Son,2025-10-15,00:56:12,-07:00,2025-10-15T00:56:12-07:00,1,34
style.css,38,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,0,0
style.css,39,css,1bef06b3,Bokyoung Son,2025-10-15,00:56:12,-07:00,2025-10-15T00:56:12-07:00,0,0
style.css,40,css,1bef06b3,Bokyoung Son,2025-10-15,00:56:12,-07:00,2025-10-15T00:56:12-07:00,0,11
style.css,41,css,1bef06b3,Bokyoung Son,2025-10-15,00:56:12,-07:00,2025-10-15T00:56:12-07:00,1,42
style.css,42,css,1bef06b3,Bokyoung Son,2025-10-15,00:56:12,-07:00,2025-10-15T00:56:12-07:00,1,34
style.css,43,css,1bef06b3,Bokyoung Son,2025-10-15,00:56:12,-07:00,2025-10-15T00:56:12-07:00,1,69
style.css,44,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,0,0
style.css,45,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,0,0
style.css,46,css,26381545,Bokyoung Son,2025-10-15,01:17:45,-07:00,2025-10-15T01:17:45-07:00,0,0
style.css,47,css,26381545,Bokyoung Son,2025-10-15,01:17:45,-07:00,2025-10-15T01:17:45-07:00,0,23
style.css,48,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,11
style.css,49,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,0,0
style.css,50,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,0,3
style.css,51,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,11
style.css,52,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,29
style.css,53,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,6
style.css,54,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,0,0
style.css,55,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,0,10
style.css,56,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,11
style.css,57,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,28
style.css,58,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,15
style.css,59,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,19
style.css,60,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,0,0
style.css,61,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,0,11
style.css,62,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,16
style.css,63,css,f48e3294,Bokyoung Son,2025-10-10,15:50:24,-07:00,2025-10-10T15:50:24-07:00,1,17
